Date,Open,High,Low,Close,Volume,EMA-12,EMA-26,MACD,Signal,
"2021-12-16",179.0519,180.9095,170.5327,172.0408,150185800.0000,171.3829,165.2062,6.1768,5.6979,
"2021-12-17",169.7138,173.2493,169.4741,170.9222,195432700.0000,171.3121,165.6296,5.6825,5.6948,
"2021-12-20",168.0659,170.3629,167.2469,169.5340,107499100.0000,171.0385,165.9188,5.1197,5.5798,
"2021-12-21",171.3417,172.9796,168.9048,172.7699,91185900.0000,171.3049,166.4263,4.8786,5.4396,
"2021-12-22",172.8198,175.6362,171.9309,175.4165,92135300.0000,171.9374,167.0922,4.8452,5.3207,
"2021-12-23",175.6262,176.6250,175.0470,176.0557,68356600.0000,172.5710,167.7562,4.8148,5.2195,
"2021-12-27",176.8647,180.1904,176.8447,180.1005,74919600.0000,173.7294,168.6706,5.0588,5.1874,
"2021-12-28",179.9308,181.0993,178.3028,179.0619,79144300.0000,174.5498,169.4403,5.1095,5.1718,
"2021-12-29",179.1018,180.4002,177.9133,179.1517,62348900.0000,175.2578,170.1597,5.0981,5.1571,
"2021-12-30",179.2416,180.3402,177.8634,177.9733,59773000.0000,175.6755,170.7385,4.9371,5.1131,
"2021-12-31",177.8634,179.0019,177.0344,177.3441,64062300.0000,175.9322,171.2278,4.7045,5.0313,
